Month,all fuels (utility-scale) thousand megawatthours,coal thousand megawatthours,natural gas thousand megawatthours,nuclear thousand megawatthours,conventional hydroelectric thousand megawatthours
Apr-24,309895.9944,37223.36384,122440.7853,57326.259,19190.06524
Feb-24,323639.1035,38360.44497,130422.5888,63345.769,22944.94238
Jan-24,320280.0349,44054.50776,130990.1956,64583.812,19597.37917
Dec-23,379799.4471,75661.91107,160450.4748,69079.735,21236.70293
Nov-23,346387.2266,56271.25125,146173.5777,68897.757,19335.91211
Oct-23,322103.4131,51230.90052,135260.0968,62257.644,18099.93499
Sep-23,329496.7418,50956.05401,140962.8778,61402.632,18076.10636
Aug-23,359046.6421,60001.259,165405.7368,65559.71,16469.21505
Jul-23,424041.5145,78187.08819,199995.1968,69744.023,21119.54732
Jun-23,425902.0956,79121.13412,200554.2328,69887.588,21198.65293
May-23,356863.4829,57700.23316,161827.4254,64965.076,19467.24347
Apr-23,327493.4149,43835.16114,137728.4868,61472.883,27444.57582
Feb-23,329920.0536,50056.85062,132207.2622,62820.443,20197.38134
Jan-23,309258.1445,46487.87427,123928.4806,60806.857,18680.2274
Dec-22,348030.6531,61274.52203,137725.2798,70870.08,22286.94647
Nov-22,360256.7151,73380.89229,140715.5326,69094.147,20429.54086
Oct-22,321780.5598,56376.96293,127523.4363,62041.287,17898.14767
Sep-22,313949.3854,54228.45722,133491.5392,58945.383,14367.41841
Aug-22,351655.4,64998.31931,156947.8524,63733.186,17026.14725
Jul-22,412133.7617,85214.64958,188859.6344,68896.917,21132.94901
Jun-22,422975.6527,86414.97062,189042.1596,68856.919,24567.4546
May-22,379134.4769,73463.10379,155517.0049,65715.42,25987.79518
Apr-22,303994.0502,55329.13354,105505.8211,55289.54,20065.83638
Feb-22,324530.8509,61018.7735,112477.2522,63153.701,24436.41649
Jan-22,324311.0552,70966.37798,114945.4142,61852.177,21320.56822
Dec-21,373765.919,87588.22693,134947.5141,70576.875,24197.61344
Nov-21,337103.5609,60024.59585,127586.4301,70719.837,23561.87556
Oct-21,314309.5206,57426.34728,122433.2592,62749.318,19373.24966
Sep-21,320201.7781,62572.1427,131851.6815,58401.112,17132.93623
Aug-21,347743.7749,78876.84017,138214.4087,64520.031,17022.26652
Jul-21,412864.7675,101854.5988,172716.0052,69471.331,20328.14723
Jun-21,405624.0906,101536.5367,170189.3631,68831.593,22097.51226
May-21,373856.4776,87264.60172,149375.5555,66070.373,23454.07921
Mar-21,293307.9444,53956.13351,107416.2679,57092.024,19388.82781
Feb-21,311397.2759,61903.96388,107018.7113,63708.238,21220.43408
Jan-21,323899.5289,87470.49993,111182.9149,62954.16,20136.50917
Dec-20,349209.7089,81239.77891,126529.5985,71732.463,24560.04066
Nov-20,344523.4128,78587.62866,127863.1722,69870.978,21507.84718
Oct-20,301402.9637,61182.18639,109810.7803,61759.977,20892.65917
Sep-20,313703.4388,59804.58904,131412.5789,59362.465,18810.4061
Aug-20,333493.0367,68406.74534,141397.455,65727.317,18678.80991
Jul-20,398535.5924,91145.41119,173644.417,68982.187,23283.5577
Jun-20,409871.26,89709.48262,181568.0636,69385.44,26741.77947
May-20,351967.1898,65283.16993,143055.4234,67205.083,27999.3837
Mar-20,279846.2138,40675.20198,110563.8151,59170.016,23194.35466
Feb-20,309869.6961,50730.62847,126186.5801,63997.21,23823.01748
Jan-20,319698.1063,56201.46779,128017.9285,65910.574,25868.06177
Dec-19,342019.1095,65139.75937,136083.78,74169.646,24497.85718
Nov-19,338536.1584,72580.73606,131973.4283,73073.575,21478.18136
Oct-19,315897.352,75549.33857,117958.726,64125.425,20217.59733
Sep-19,320517.6448,66777.23093,131113.378,62032.622,18305.81291
Aug-19,360759.5693,85706.69196,149938.1323,66063.58,18525.75999
Jul-19,401731.6546,94039.70636,175270.2476,71910.684,22578.66752
Jun-19,353239.3549,78539.50426,138087.4187,68804.879,28077.76308
Apr-19,330660.8227,71884.62525,117296.649,67123.546,31982.04155
Mar-19,296952.6114,59922.45969,104348.6321,60580.927,27820.1768
Feb-19,326903.2526,78351.61989,116059.1462,65079.691,26333.98533
Jan-19,315281.7322,79929.40881,112397.1592,64714.894,22880.53778
Dec-18,359728.8351,100904.7043,121808.2773,73700.844,24797.80842
Nov-18,342292.2326,100318.6001,109955.0966,71657.288,22797.16131
Oct-18,322466.0338,92818.59372,108265.012,63954.37,21912.71643
Sep-18,325070.1501,87263.62736,123280.4465,59396.905,19548.19092
Aug-18,356557.9597,96543.99239,142085.1857,64724.753,19165.6208
Jul-18,408352.1497,115129.4557,162000.634,72282.467,22016.90536
Jun-18,372145.0843,101503.4267,131085.723,69687.556,27597.48847
Apr-18,339228.2616,85227.3,115564.6383,67320.248,30444.28385
Mar-18,321765.1897,80625.66254,106742.0159,67032.656,25860.604
Feb-18,307057.6575,82050.18241,98675.2857,64790.03,24902.25758
Jan-18,373379.3527,119284.1147,110441.9821,74649.04,25064.07663
Dec-17,350563.3593,106545.3667,111553.286,73699.572,22247.84164
Nov-17,308188.6823,90986.33924,95072.30676,66617.853,19888.33402
Sep-17,318731.2011,89775.52365,106895.1991,65994.785,17698.17945
Aug-17,336003.8361,98202.04611,118131.7052,68097.918,19151.75538
Jul-17,384837.2763,119488.3849,141307.8281,72384.218,22033.85574
Jun-17,358630.1022,107508.3222,117351.4929,67010.782,30575.29559
Apr-17,323494.0217,92776.54135,98074.11624,61312.753,32607.11514
Mar-17,319469.2801,89364.62027,95214.19971,65093.2,29613.19463
Feb-17,291112.6381,86822.18986,82836.97484,63560.371,23881.76459
Jan-17,344413.9697,115332.8083,95661.24708,73120.612,26627.88134
Dec-16,345389.3435,118746.8419,96416.06528,71662.429,22527.76456
Nov-16,297065.2608,86940.46241,93950.8325,65178.776,18808.26528
Sep-16,312939.7279,99193.94367,102897.9861,60733.343,17338.85654
Aug-16,351560.0438,114137.7683,125683.4508,65448.176,16367.68403
Jul-16,409861.386,135634.7333,154926.0252,71526.405,19569.54914
May-16,367903.5418,116034.3841,131522.9971,67175.324,23236.86739
Apr-16,316866.9924,81694.51025,110518.5333,66576.493,25486.38143
Mar-16,304427.4219,72172.52681,103933.1226,66148.894,27389.8772
Feb-16,313816.4003,92704.80797,98688.19908,65638.141,24139.01548
Jan-16,352713.7194,113459.3798,110043.7467,72524.775,25614.54233
Dec-15,324536.1236,89495.07284,109892.1029,69633.664,23165.56195
Nov-15,300779.3943,87227.13603,102368.8418,60263.941,19337.83088
Sep-15,312210.4157,96758.50415,110109.753,60570.921,16630.40155
Aug-15,350190.2263,117985.6322,123110.8314,66476.372,16094.1224
Jul-15,392241.7185,134670.3089,139215.8854,72415.352,19122.10511
May-15,362493.0664,125673.1137,121567.8112,68516.165,20414.084
Apr-15,322189.1014,104584.5267,101624.6975,65826.525,20125.4156
Mar-15,324313.5171,108487.5386,99550.14498,64546.799,24280.90476
Feb-15,334595.611,126976.832,91440.16871,63461.493,22286.07601
Jan-15,360452.8432,132450.5207,101690.9734,74269.974,24138.3839
Dec-14,337952.9806,124620.1162,91040.2099,73362.548,22328.78862
Nov-14,317491.3645,119127.4394,84355.8568,65140.185,18624.92296
Sep-14,314518.0088,111295.9575,97684.69687,62390.988,17159.21225
Aug-14,339882.6659,126110.3846,106583.6804,67534.5,16074.32674
Jul-14,385775.4499,149627.0576,115083.4461,71940.126,24357.40238
May-14,357840.1785,137576.9215,98469.55616,68138.232,25743.87767
Apr-14,324719.3071,118785.8006,89120.78275,62947.43,26543.88511
Mar-14,297628.2622,109280.5917,76784.84902,56384.588,25439.90661
Feb-14,324347.0162,143294.4875,75945.20996,62638.95,17396.12893
Jan-14,377251.3784,157097.3686,91062.48197,73162.609,21633.79467
Dec-13,353021.2477,141859.6654,92936.2913,71293.578,21128.29918
Nov-13,314539.6419,120939.7298,84286.78492,64975.456,17676.83384
Sep-13,314925.4625,120996.3929,88587.40151,63183.533,17198.59414
Aug-13,340940.9016,133110.4373,102063.2333,65798.971,16961.1523
Jun-13,394845.6208,152866.8527,120770.9808,70539.238,27254.5715
May-13,356822.6472,138283.216,99615.06431,66429.69,27384.06656
Apr-13,322155.6404,119512.5,83815.59186,62848.155,28450.09411
Mar-13,325398.834,130633.5604,84725.25919,62947.389,20534.35802
Feb-13,309728.08,123546.8048,80283.07377,61483.385,20418.46514
Jan-13,348967.3779,138104.8211,88559.05007,71405.817,24828.52759
Dec-12,334634.7492,134078.9076,83989.0974,68583.669,22984.35228
Nov-12,305975.851,128727.0657,80169.46107,56712.757,18733.31916
Oct-12,311651.9307,120999.3388,91725.37056,59743.218,16501.69662
Aug-12,334585.5627,125588.6081,108012.3007,64510.882,17603.96419
Jun-12,414641.2175,160450.2625,138862.85,69129.329,26491.04579
May-12,360825.3809,131261.0361,115597.5032,65140.085,26657.66222
Apr-12,336516.156,115982.6466,107351.8123,62081.445,28641.31224
Mar-12,309089.5521,105525.5468,92250.65327,61728.613,25906.63425
Feb-12,309389.4325,113872.0469,90609.78234,63847.023,20283.9644
Jan-12,339526.4801,129090.9898,90760.88378,72381.186,23107.14392
Dec-11,335740.4628,132928.7161,86121.62582,71837.372,23731.94371
Nov-11,304102.1544,121462.7108,75441.29818,64473.88,20680.52743
Oct-11,308698.5036,126626.9728,78819.20708,63336.97,19787.38961
Sep-11,337931.3176,140941.1491,91739.07009,66848.854,21377.59172
Aug-11,406511.3147,171280.5339,119855.7926,71338.566,25763.57824
Jun-11,418692.7546,176585.8197,119623.5911,72344.85,31284.63456
May-11,367727.015,158055.2126,90691.11156,65270.134,32151.21433
Apr-11,323628.2381,137101.565,75242.79679,57012.914,32586.92609
Mar-11,318709.9409,134845.2314,65947.12043,65661.598,31134.47075
Feb-11,313126.6071,138311.1572,65923.98289,64789.078,24131.22605
Jan-11,362871.893,170802.6793,74254.33381,72742.813,25531.09446
Dec-10,362119.0813,167258.0862,77573.32016,73683.304,23169.07145
Nov-10,306009.6291,135185.0454,69226.55984,62655.206,19561.55003
Oct-10,307920.6906,132269.8351,77738.33651,62750.833,17682.97635
Sep-10,346045.1718,148745.6717,93004.17649,69371.195,17265.20646
Jul-10,408884.1554,177745.3201,121151.2686,71574.103,20119.23218
Jun-10,409725.4404,179600.4991,114624.2019,71913.468,24516.76133
May-10,327936.4916,143272.4936,73665.43824,66658.365,25079.21697
Apr-10,287800.2266,126951.8853,64644.025,57611.073,19096.66257
Mar-10,312167.6403,144405.6332,63430.66033,64634.721,20885.6628
Feb-10,319734.7267,153044.1591,66198.08,65245.37,20589.82989
Jan-10,360957.167,173320.1609,74172.73601,72569.341,22383.07243
Dec-09,350507.2953,166434.0356,71589.60705,70710.218,24729.80834
Nov-09,296634.67,136809.5752,63285.13196,59069.208,21007.70089
Oct-09,307040.3407,139955.5774,72602.72548,58020.927,19691.06826
Sep-09,327400.6119,137144.648,92126.61784,65751.794,17358.71392
Jul-09,381221.4169,163260.4831,109239.5541,72244.597,19580.41655
Jun-09,347658.2413,148086.7711,84205.18154,69734.736,29233.39456
May-09,311305.8722,131673.0575,68145.64662,65395.452,29559.65512
Apr-09,289537.2551,125934.9731,61158.67362,59408.407,25769.8074
Mar-09,310602.9638,135530.3278,68202.74331,67240.567,21827.45353
Feb-09,300887.3977,140915.7848,62138.85332,64227.211,17812.03175
Jan-09,354992.6362,171925.1503,66390.11321,74102.489,23490.29569
Dec-08,343898.2545,167785.7305,64363.64603,72931.328,20861.49062
Nov-08,310046.2412,154281.198,61454.19852,63408.145,15667.93401
Oct-08,318547.3431,151840.7152,73283.33855,62820.353,15469.94246
Sep-08,338056.13,161356.3473,79136.02998,67053.867,16178.19232
Jul-08,388986.7188,180576.493,99673.49348,72617.066,21229.2774
Jun-08,402900.3362,186733.4563,100320.8781,74318.27,25555.08636
May-08,325244.8019,154915.9014,62270.44712,64825.901,27221.14742
Apr-08,305865.0312,146983.0239,63046.09796,57332.716,22233.93205
Mar-08,324629.8496,160743.243,62170.57985,64716.468,21668.93847
Feb-08,325105.5971,166666.3548,60042.0118,65130.385,18788.8861
Jan-08,362998.429,182875.5043,72599.9011,70734.57,20779.13078
Dec-07,346290.3305,173829.8655,66807.82797,71982.726,18341.67452
Nov-07,314102.5426,159382.4546,60636.79925,64899.278,15682.053
Oct-07,332615.4164,162234.3561,78358.02381,61689.542,14796.43375
Sep-07,355393.9119,169391.2728,88531.61471,67578.578,14742.53418
Aug-07,421796.6593,190134.8163,121338.4266,72750.91,19940.55104
Jul-07,393226.4323,185053.7876,97482.67572,72738.535,22477.76053
Jun-07,362754.8772,173512.884,81511.45079,68923.074,22816.60812
May-07,330202.758,157513.2812,66469.7005,65024.555,26046.97643
Apr-07,303129.0636,146249.5412,60152.84758,57301.424,23890.58301
Mar-07,320471.2425,159811.0739,56203.82094,64305.153,24163.45595
Feb-07,323230.3948,163602.8126,57622.07125,65224.794,18566.63325
Jan-07,353531.0948,175739.4377,61474.53193,74006.184,26044.71053
Dec-06,336283.2459,173508.9511,56128.18599,70489.681,21595.95122
Nov-06,309158.8264,159439.5173,53439.69272,61392.321,20271.72257
Oct-06,321567.0913,161389.6591,70640.03895,57509.306,17055.17699
Sep-06,332055.3208,161590.3542,72673.34798,66642.327,17201.46086
Aug-06,407762.5364,189454.9297,106591.666,72016.095,21728.3537
Jul-06,410420.7933,187820.8715,108093.5144,72186.494,25439.39237
Jun-06,364259.7976,169693.4782,81060.20993,68391.472,29757.28409
May-06,330615.57,157009.7551,65585.60534,62775.701,30818.44294
Apr-06,297858.0775,141426.2336,56090.85628,57567.204,28555.68297
Mar-06,318729.7996,161325.1153,54921.74189,63720.849,24624.60881
Feb-06,307333.43,158616.1889,47408.9894,62615.654,24761.68318
Jan-06,328657.7385,169236.0806,43806.92078,71911.532,27436.65597
Dec-05,348101.0706,177965.1796,53992.60122,71735.067,22141.15675
Nov-05,306115.2362,158797.527,49440.22594,62912.709,19352.66779
Oct-05,316397.9236,162436.793,55940.88089,61235.597,18006.36026
Sep-05,350217.8005,171656.2155,73355.48269,66738.979,17363.68401
Aug-05,404940.6811,187573.7544,100786.6544,71381.55,21565.67882
Jul-05,402273.8465,186090.7572,96819.41031,71070.011,25956.84152
Jun-05,363671.636,174866.9973,75635.49254,66144.275,26782.98993
May-05,315062.1099,153957.9615,54826.00402,62970.464,27278.51096
Apr-05,289562.3999,143083.239,52016.28598,55484.01,23058.35863
Mar-05,317458.2765,163612.7005,51896.97271,61538.53,22936.06749
Feb-05,298500.3156,155818.0141,44912.61665,60946.934,21606.77394
Jan-05,343121.4534,177013.9066,51337.62707,69828.239,24272.16485
Dec-04,341947.9634,176755.2015,51309.56547,68616.627,26210.71849
Nov-04,302101.2562,157435.9942,49693.03398,58940.863,20937.04438
Oct-04,312450.2229,157605.0954,57228.81399,62530.352,18862.7954
Sep-04,335622.1979,164252.9233,67853.99334,65932.057,20525.26137
Aug-04,368439.0371,178181.3426,77820.68835,71068.483,21591.96742
Jul-04,377331.6971,181491.8206,79290.02224,71975.04,23318.27953
Jun-04,345085.0788,167641.9063,64685.66904,67734.073,25252.34503
May-04,327380.2636,157016.3772,62021.80807,64917.412,24019.71812
Apr-04,290559.9142,141470.9562,51821.98826,58620.255,20887.97481
Mar-04,308812.0955,154288.4192,49801.1869,63285.116,22914.28123
Feb-04,314279.9095,161503.0922,50319.87478,64101.949,20913.61671
Jan-04,346545.627,180657.4205,48253.37213,70806.16,22983.30588
Dec-03,331680.43,176291.473,44034.895,68611.699,24044.33
Nov-03,297866.711,158223.194,45327.919,59600.02,19715.265
Oct-03,306740.933,159322.942,51824.169,60016.207,18428.423
Sep-03,323135.534,164910.002,59089.943,63583.645,18480.455
Aug-03,381816.319,185331.823,83249.694,69023.878,22972.03
Jul-03,374396.05,181852.318,76938.278,69652.754,24843.095
Jun-03,328693.698,162284.63,54452.951,64180.727,28586.3
May-03,307544.887,150262.977,49372.963,62201.96,29395.256
Apr-03,285755.699,141959.981,45195.383,56775.591,24758.962
Mar-03,304317.265,155001.775,46699.026,59933.261,24202.273
Feb-03,299248.777,156982.481,43546.573,60941.869,19779.86
Jan-03,341988.901,181313.153,50175.746,69211.084,20600.079
Dec-02,324833.705,172189.765,46100.393,68905.472,21668.54
Nov-02,296289.561,156053.655,45160.876,61520.324,19730.029
Oct-02,307059.46,159099.294,54200.82,60493.052,17171.334
Sep-02,331279.434,165366.309,68161.131,64480.79,17086.782
Aug-02,374585.819,179955.447,84476.867,70777.688,21083.924
Jul-02,381542.107,183194.702,83917.269,70420.827,25470.647
Jun-02,341023.144,164667.695,65631.018,66371.896,28212.847
May-02,307674.569,151406.401,50275.237,63032.192,26662.695
Apr-02,289848.253,142304.595,49146.409,58437.062,24246.605
Mar-02,302549.011,151485.651,51214.464,63040.647,21008.813
Feb-02,281825.712,143048.822,44308.431,61658.274,20191.683
Jan-02,319941.476,164358.018,48412.832,70925.863,21794.932
Dec-01,305496.328,157402.35,47540.861,67430.878,19346.314
Nov-01,278933.942,144116.998,44490.622,62341.711,15412.929
Oct-01,294733.613,148930.816,56376.441,60460.967,15234.503
Sep-01,306928.866,154158.317,60181.14,63378.451,15256.027
Aug-01,370532.828,183116.073,78409.804,68389.496,18913.768
Jul-01,357613.7,179060.41,73030.142,69166.04,18079.119
Jun-01,327693.978,162615.804,57603.154,68023.098,20727.63
May-01,300491.621,151592.914,50934.205,61512.445,19175.635
Apr-01,278078.871,140670.654,45842.746,56003.026,18012.994
Mar-01,300706.544,155269.011,44364.414,62140.712,20477.189
Feb-01,282940.198,149735.484,37966.927,61272.407,17472.889
Jan-01,332493.16,177287.111,42388.663,68707.077,18852.048
