Month,New England,Middle Atlantic,East North Central,West North Central,South Atlantic,East South Central,Mountain,West South Central,Pacific Noncontiguous,Pacific Contiguous
12-Aug,12412.58179,44015.32593,63212.93007,33864.34085,79299.62573,39422.85628,35724.7535,70309.4905,1359.8322,35019.48063
12-Jun,10231.51832,36293.75712,53901.72297,28936.97137,66747.88539,33915.97461,32254.62811,64924.88817,1326.01966,32292.01518
12-May,9566.44212,33937.19121,49289.74839,25665.77391,64937.40093,31191.00693,28455.24598,59624.40132,1394.75912,32454.18608
12-Apr,9717.2238,33608.1025,47489.33881,24777.5433,55466.68061,27456.85007,27676.74588,50444.74568,1482.92344,30969.39799
12-Mar,9632.67811,34060.60084,50115.33519,25405.93478,54834.86342,28631.85489,28359.44563,49143.59839,1403.62853,27801.49275
12-Feb,10524.17368,37514.29486,54641.11225,27983.8571,60857.08042,31880.10349,30860.52285,53114.62684,1573.36889,30577.33971
12-Jan,10251.87941,35965.931,52047.73124,28539.36497,58933.20808,31580.59631,31638.58282,52649.64351,1563.48971,32570.03571
11-Dec,9407.60662,33931.82749,47301.23524,25697.76974,52999.09026,28976.67869,27996.38116,47030.74755,1525.67125,29235.14646
11-Nov,8923.04862,34498.19787,47922.7485,25882.94822,53917.96317,28671.67899,29292.35759,49682.61788,1482.22308,28424.71967
11-Oct,10437.09529,35451.3017,49329.70604,25709.8297,64163.55807,30507.70977,32198.40314,58047.88215,1410.32283,30675.5089
11-Sep,11785.36513,40333.89234,60919.10146,31052.94242,76579.31702,38439.88801,36787.78556,74562.66315,1440.10032,34610.25931
11-Aug,12567.03449,43551.29264,65180.28064,33043.95044,79741.39879,39265.44522,35931.30833,72802.87326,1426.13967,35183.03115
11-Jun,10331.75569,36894.79036,54359.21327,28531.956,72577.44583,35331.47173,30494.75307,66120.52568,1371.28354,31713.81985
11-May,9384.74101,33840.2204,47318.17563,25544.93386,63714.528,29333.59468,27460.97943,55359.37945,1426.48621,30245.19937
11-Apr,10230.53219,32950.35278,51909.59068,26921.39454,57311.77652,30644.53396,28358.26182,47381.24584,1545.62547,31456.62711
11-Mar,9809.45147,33426.50199,49839.17038,27076.45734,55727.78103,30267.18497,27858.94605,48355.90513,1435.14468,29330.06402
11-Feb,11324.53112,38013.9099,57958.99096,30720.36088,68880.66864,36646.85527,30947.06177,55008.22355,1552.21547,31819.07539
11-Jan,11265.9416,39075.81746,57505.2911,30176.59817,72704.15705,35912.546,30963.38642,51966.64777,1573.36872,30975.32701
10-Dec,10381.86589,34334.70701,49477.48584,25741.99896,53826.46486,27301.80276,28394.27035,45911.52802,1454.67572,29184.82976
10-Nov,10554.49414,32866.13275,24657.82586,55393.80794,27476.7054,28903.00297,47670.36083,1508.08478,29834.68961,30328.35907
10-Oct,11189.5095,36242.48663,51102.56878,26148.96119,67028.59715,32094.30679,32668.08312,57807.2071,1435.09251,34053.13976
10-Sep,12623.77993,41554.43569,63631.55461,32352.22962,79531.03409,37592.46182,35738.28264,70310.92667,1496.31055,34788.23474
10-Jul,13561.28283,43138.58958,63685.7629,31813.12451,81655.65068,37493.4215,36678.24123,65460.96399,1450.16845,29017.16649
10-Jun,9558.29829,33698.1896,50194.08637,26021.45162,65900.56941,29637.52203,28422.18323,54038.03792,1448.98662,28029.57664
10-May,8864.19088,29249.78765,45203.85811,23885.56088,54610.55838,25686.36592,26927.01727,43925.32434,1417.98652,29387.10407
10-Apr,9706.884,32872.44792,49793.8148,26729.45866,58267.33175,29900.22382,28410.91209,45626.97783,1472.48543,26433.37741
10-Mar,9572.73745,33836.09456,51203.60236,26426.46425,63493.57967,32778.54886,26872.08918,47775.48538,1342.74758,28620.57956
10-Feb,10940.59454,36449.27711,58604.81115,30249.99497,73971.01772,35792.18782,30789.94476,53961.7509,1577.00839,31395.81401
10-Jan,10675.93238,36434.76347,56745.50255,29814.55525,66920.77156,32418.75748,32410.46144,52093.25268,1597.48445,27216.96192
9-Dec,9154.64002,32163.30612,48443.6678,24932.59674,53805.04875,27362.74973,28877.57343,43125.61713,1552.50838,28602.85194
9-Nov,8919.73938,32140.398,48125.8218,24866.6764,58571.42798,28355.93247,29269.35797,46623.13961,1564.99512,32144.09358
9-Oct,9751.37004,32965.3716,49268.57362,25055.62026,62037.56595,30239.66137,31806.4586,52689.20055,1442.69633,36195.28252
9-Sep,10818.04912,37953.47117,53141.64097,28222.39049,71302.05368,31762.68159,36243.79882,65418.63265,1484.22457,30318.28393
9-Jun,9088.5894,32401.95847,44855.262,24276.66238,59489.41288,28655.57149,29646.01033,51166.34993,1407.77137,29156.64762
9-May,9479.28253,30733.53338,44346.52027,23304.31976,54170.99278,26370.31334,26018.25259,44557.80612,1399.58675,29204.66266
9-Apr,10541.25583,34160.99897,48504.17911,25957.9193,56929.43363,28565.36653,29301.54548,45971.6795,1465.92282,26536.46545
9-Mar,9914.03521,32578.83958,49154.18062,24565.77516,57525.05642,28463.81625,28080.89346,42712.20458,1356.13097,30750.31928
9-Feb,11746.18587,38163.02416,58124.8052,29098.94419,69369.84063,33930.44172,32178.28866,50088.17741,1542.60911,31123.44833
9-Jan,11160.60131,36665.6367,57063.84228,28748.21043,63458.64491,32093.24897,32572.60217,49429.66943,1582.34995,27070.40933
8-Dec,10266.13556,33582.64916,52353.39002,25025.57762,58280.73593,28877.66815,28899.2723,44190.13071,1500.27242,28961.542
8-Nov,10373.28562,33822.7785,51388.83981,24790.93622,58842.30155,28988.90208,30983.11307,48839.14854,1556.49577,30465.29049
8-Oct,10722.31963,35423.29184,52860.61106,25508.41443,67942.1139,31417.57783,32843.33301,49405.8875,1467.29033,35179.28442
8-Sep,11505.46752,38451.39055,60149.38926,29362.24674,76418.31065,35352.00238,36957.14245,64127.04468,1484.44017,34642.02302
8-Jul,10832.82185,38923.62779,56807.205,26077.58045,75616.65139,34685.83166,32702.39617,61381.74071,1439.14889,32203.75896
8-Jun,9370.59133,31238.2092,50491.06074,23940.80983,64412.71557,29256.294,29126.39189,53719.04536,1485.92506,30809.9465
8-May,9281.91134,30472.59593,49662.81983,23449.454,58225.06037,28420.20752,28294.8562,45790.48012,1457.6994,29397.21512
8-Apr,10381.67595,33843.20218,54079.20224,25267.05837,62583.10689,30791.96518,29665.52951,47065.32098,1555.57318,28432.03267
8-Mar,10012.15485,34246.53124,54448.89815,27031.68978,64273.91727,30941.7659,28875.67447,45335.51064,1507.42213,33154.43245
8-Feb,10675.11442,37495.28957,59290.84177,28476.51219,72178.95837,35139.04319,31636.60994,53354.27078,1597.35638,31735.18096
8-Jan,11416.97156,36923.08124,56855.39232,28101.91113,67298.6499,31594.69375,30810.30237,49929.60818,1624.53914,28964.65805
7-Dec,10378.46918,32590.19024,52264.15971,25339.12477,61461.57338,27911.21115,28282.3102,45428.91715,1481.92878,29077.0631
7-Nov,10742.16352,33458.38104,53559.75797,25041.98454,68602.10863,30364.40783,29421.69232,50763.73286,1584.12457,30000.0466
7-Oct,11243.92127,35921.02477,55831.83855,25773.92168,72863.18533,33113.95836,32471.60251,56665.66216,1508.75069,35813.92536
7-Sep,13046.37017,43472.07133,65557.36608,31092.48708,87386.81942,40357.41514,35834.93423,67650.97807,1584.29242,36518.09048
7-Aug,12767.64246,41155.92362,59876.2301,30076.92334,79099.98063,36136.19522,35878.81576,60149.2537,1567.37697,31368.49307
7-Jul,11045.98531,37810.71532,56835.61403,26921.33982,74567.07511,34363.52934,32135.05915,56226.44076,1480.62534,30570.57254
7-Jun,9927.09202,34125.63378,51158.54412,23389.72848,67832.41653,31214.1614,29972.24886,50500.87823,1511.4821,29712.92451
7-May,9795.12946,33015.173,48991.28599,22528.40917,59657.94707,27398.81746,25929.49727,44639.54623,1460.33348,30229.59697
7-Apr,10774.27962,35198.74781,53067.7872,24189.78445,63506.46649,28987.22434,27801.38753,45126.28346,1589.68467,26800.65818
7-Mar,10384.59887,34885.5562,55262.32607,25240.96212,65658.51883,31557.82671,26649.05424,45400.43173,1390.46193,32124.38156
7-Feb,11003.72491,36081.77433,59494.48883,27648.97205,67254.87382,33209.24423,32138.27147,53004.22243,1571.14111,31023.53932
7-Jan,10810.93581,35307.90774,56169.62963,27342.52108,63481.7787,32325.64777,30581.55661,47681.50091,1558.22833,27620.13713
6-Dec,9895.49493,32851.78548,52425.06918,23582.13448,58718.41439,30656.70837,28434.16799,43414.50205,1560.41245,29315.40055
6-Nov,10563.84823,31834.48644,53127.10633,24633.35273,62985.28682,30412.34582,28593.42715,48554.32343,1547.51384,30002.2222
6-Oct,11023.92292,33130.1358,50741.76842,24477.34602,67024.34741,31175.28152,30260.77832,52758.59033,1460.92794,33718.24764
6-Sep,12762.17085,42382.40807,63501.96594,29409.0345,84039.13933,38401.63971,35063.08301,66807.95359,1676.89376,38803.45974
6-Aug,13614.42655,44097.68269,63607.51038,29919.15962,82287.82656,37332.17724,34693.4267,64469.85334,1595.27055,35628.91439
6-Jul,11622.16474,37314.42807,55460.5705,26093.9617,73342.85878,33785.25436,30808.9681,58685.64487,1517.03206,33162.70644
6-Jun,10569.09111,33368.3592,51327.75353,23468.26422,65947.22823,30069.02466,27320.62946,53906.83074,1475.68245,29493.67819
6-May,9493.64844,30292.84994,46539.01662,22276.57582,59912.54026,27071.53705,24662.65515,46691.88005,1423.69602,30284.48249
6-Apr,10795.13547,33893.46694,52943.46264,24189.34562,63608.94172,28608.40368,27944.70589,44968.24026,1493.6149,28370.84608
6-Mar,10067.88863,32140.47932,51540.30866,24211.62195,62577.58194,29301.98254,25526.02233,42238.7215,1357.97708,30918.90447
6-Feb,10992.71936,35163.17578,55163.24104,26011.3617,65424.14185,30687.40174,28620.42223,44110.24925,1566.12105,30306.49083
6-Jan,11493.85159,37209.11237,59556.65916,27198.07858,68982.01499,33687.91496,30127.60079,47904.82261,1634.5247,26867.79156
5-Dec,10255.93686,31780.92471,52113.52191,23859.76908,60751.24904,27773.4078,27949.51643,43282.97178,1480.14707,27201.64171
5-Nov,10506.21363,32201.65185,53781.47518,23740.23753,64936.67791,28471.56315,28138.59091,45892.15398,1527.71777,27638.64286
5-Oct,11485.8397,36469.90405,56082.07149,24899.16318,74703.6953,32409.81012,30160.07876,54818.43413,1550.16092,33997.4549
5-Sep,13606.12455,43664.12659,63835.70374,28892.86015,85058.15658,37239.15859,33584.9034,63397.16485,1665.0277,35433.83916
5-Aug,13204.9999,42506.32938,63453.80027,28858.66145,83120.6768,36637.67193,34835.29225,62604.40829,1618.16704,30160.10599
5-Jul,12069.3066,37679.35066,59586.7893,26570.43191,73295.89352,33769.79215,30328.70671,58763.33136,1447.92786,29366.78532
5-Jun,10069.04845,31217.4284,49330.9794,23318.66847,61943.9656,29907.59032,28071.3394,50378.26068,1458.0439,27249.51592
5-May,9691.97142,29966.59816,47206.91827,21443.69876,57571.37061,27430.65636,25310.25436,42312.50003,1378.916,28244.36636
5-Apr,11123.39379,34746.59624,52739.76699,24347.40993,64260.50256,29914.75991,26168.69541,44488.43331,1424.35196,25978.33629
5-Mar,10564.08803,31947.32299,49687.04491,23304.71342,59686.03247,28090.11748,25227.30705,42687.52856,1327.82441,29138.70002
5-Feb,12078.45502,36138.78132,57537.74531,27350.50673,68470.85115,32623.17591,29038.65652,49157.92679,1586.65458,29696.12602
5-Jan,11611.62774,35217.7193,58219.43338,26594.38486,67079.84743,33327.36775,29367.9593,49272.68681,1560.81081,26795.93722
4-Dec,10486.64926,31304.81511,50834.54647,24163.13191,58390.34932,27743.57868,27177.35988,43721.61689,1483.27147,27547.42611
4-Nov,10005.77054,29714.35885,51992.33562,23800.78287,61171.91388,30061.61689,27587.94399,49051.30754,1516.76659,29589.69077
4-Oct,10880.00685,33532.79068,53960.41931,25272.60178,65744.37412,31016.0871,30033.80909,54067.55873,1524.85947,31811.99786
4-Sep,12229.15561,38104.98395,56535.15711,26891.97107,75030.35124,34201.76016,32914.2766,59137.43263,1581.95084,32844.334
4-Aug,11751.50663,38485.56252,58203.06911,27564.8551,77668.59873,35896.73508,33046.54726,60307.23996,1563.2488,29765.75541
4-Jul,10899.77462,34684.26526,55071.15482,24462.58875,71870.68163,32805.7226,30020.82709,54052.1152,1452.19347,28443.16202
4-Jun,10319.5973,33864.14248,52551.79312,23031.78183,67000.60739,31380.20505,28063.2248,51292.96452,1432.78514,27180.30386
4-May,10234.71793,30020.0257,48399.80126,22192.80359,57487.91826,26463.37227,24436.81195,42752.64135,1391.51801,28251.41301
4-Apr,11345.09036,32623.58007,51926.06668,24060.58345,61011.46057,27423.05592,26552.50416,44164.49265,1453.84867,27177.8617
4-Mar,10942.16977,33603.91927,51573.39948,24083.39068,63884.57626,30234.90409,26001.51243,45341.01744,1437.15841,29222.67735
4-Feb,12812.29419,37349.47291,57739.10604,27364.03789,71454.26069,32587.46747,28510.04279,47967.55988,1538.70777,28930.087
4-Jan,11438.169,35370.914,55382.546,26702.342,67135.466,31947.059,27452.223,45771.601,1550.022,26683.562
3-Dec,10284.352,30843.772,50502.424,23628.204,58414.055,27788.516,25605.799,42642.452,1473.574,28665.44
3-Nov,10654.518,31233.559,50730.678,24005.327,59437.297,28399.884,26456.96,45624.594,1532.675,28600.057
3-Oct,10907.562,31836.413,52205.126,23988.71,66157.922,30088.482,28114.961,49775.057,1461.245,31759.244
3-Sep,12683.47,38985.3,60663.152,29293.929,77119.306,36189.933,31913.841,61750.223,1457.924,33599.731
3-Aug,12243.51,38018.369,58316.13,29068.718,75233.134,34918.346,32225.958,59305.49,1466.661,29538.196
3-Jul,10247.181,33334.138,50565.083,24596.746,67708.51,30295.636,27627.784,53402.235,1378.187,28228.269
3-Jun,9444.872,30502.843,47106.761,22685.616,63369.541,28424.177,25967.99,50413.848,1400.969,26803.155
3-May,9977.719,29807.696,46435.333,21477.203,58622.988,25535.342,23094.451,42648.2,1353.612,27684.37
3-Apr,10285.218,31964.619,51989.076,24217.188,61494.652,27370.328,25269.39,42588.416,1454.009,24630.264
3-Mar,10273.044,32341.268,50757.104,23866.509,61302.16,28040.828,24197.944,42515.706,1323.947,26726.997
3-Feb,11708.305,37153.287,57397.676,27151.293,71778.453,32577.578,27358.174,48674.859,1462.277,26798.907
3-Jan,11364.732,35861.865,54176.121,26401.096,65314.301,30923.614,27488.343,44902.749,1601.983,24344.835
2-Dec,10640.537,31972.255,50817.7,23937.809,57772.548,28279.112,25596.168,41399.598,1528.996,25352.88
2-Nov,10308.022,32143.287,51439.516,24116.337,64104.233,27368.552,25610.659,45025.163,1591.44,27348.231
2-Oct,10023.35,34386.461,54543.371,24559.749,67855.391,30432.891,27197.755,53384.461,1547.779,30716.949
2-Sep,11445.315,40348.775,61452.029,27537.532,76125.326,34982.695,28901.466,61506.443,1569.297,33180.52
2-Aug,11688.305,40178.81,63369.038,28632.149,76905.9,35518.08,29925.997,60577.849,1565.459,31348.779
2-Jul,10143.55,35213.974,55004.018,25556.316,68564.593,32285.343,27017.073,54379.65,1511.269,27266.46
2-Jun,9485.925,31146.628,49039.189,21748.948,62580.261,29326.287,26613.706,48949.683,1517.479,26646.76
2-May,9202.636,29451.91,47658.76,21344.027,58310.289,27790.241,23986.54,43967.297,1489.786,27819.582
2-Apr,10056.884,30646.338,51176.451,23447.522,59590.349,28651.743,25459.572,44172.408,1528.163,24573.165
2-Mar,9210.453,29982.475,46096.875,21724.824,55268.507,27574.581,23893.163,42109.981,1391.688,28677.384
2-Feb,10770.4,34151.171,52278.902,25297.435,62815.78,30899.33,26444.734,47019.282,1587.056,27185.322
2-Jan,10365.099,33184.985,51259.562,24359.674,55498.722,31284.999,26754.936,44100.471,1502.558,23969.765
1-Dec,9434.711,30331.938,47472.661,22206.773,50732.604,27726.556,25309.309,40321.756,1427.873,25747.793
1-Nov,9915.666,31233.526,48775.486,23181.434,55230.161,30491.364,25468.017,43196.364,1493.797,26452.595
1-Oct,9988.828,31759.84,48064.838,23284.229,59476.65,31970.336,25513.056,48879.6,1538.896,30864.534
1-Sep,11520.47,39574.742,59338.128,27469.184,75129.593,36558.802,29175.196,59357.566,1544.612,29097.237
1-Aug,10220.887,36637.41,57249.317,27361.62,70454.947,35550.328,29648.592,59903.407,1489.953,28140.685
1-Jul,10059.375,34862.459,52609.006,23618.983,66210.028,31979.553,27274.881,51577.123,1361.883,27090.104
1-Jun,8591.5,30940.188,48696.673,20745.501,59024.877,29568.561,27219.851,47243.819,1370.549,26042.028
1-May,8320.897,29474.163,45951.256,19771.091,55824.732,26477.538,23517.664,41374.924,1324.576,27832.996
1-Apr,9505.969,33902.556,51377.128,22010.841,58510.94,29401.75,25869.711,40834.225,1460.429,25186.362
1-Mar,8662.316,31218.925,48200.274,22083.925,54571.094,27306.648,25227.419,39136.222,1347.014,29087.227
